# Pick And Place List
# Company=
# Author=
# eMail=
#
# Project=quad_creek_oct31_release_version
# Date=12:25:39
# CreatedBy=Fritzing 1.0.4.2024-10-07.1.0.4rc1-4-ga8c6ef7c
#
#
# Coordinates in mils, always center of component
# Origin 0/0=Lower left corner of PCB
# Rotation in degree (0-360, math. pos.)
#
RefDes,Description,Package,X,Y,Rotation,Side,Mount
Description: resistance;capacitance;inductance;voltage;current;power;mpn;mn;
Via132,";;;;;;;;","",6680.45,3761.37,0,Top,MANUAL
Via221,";;;;;;;;","",9179.79,5137.08,0,Top,MANUAL
Via207,";;;;;;;;","",9680.46,1786.36,0,Top,MANUAL
1M,"220;;;;;0.25W;;;","THT",8848.12,2989.89,-77,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",3978.39,5311.78,0,Top,THT
100k,"220;;;;;0.25W;;;","THT",6755.46,3261.37,90,Top,THT
100k,"220;;;;;0.25W;;;","THT",2504.36,4112.62,-1.59028e-15,Top,THT
-,";;;;;;;;","TO92 [THT]",2111.86,2691.12,180,Top,THT
105,";100nF;;35V;;;;;","200 mil [THT, multilayer]",10330.5,1486.37,0,Top,THT
Via166,";;;;;;;;","",1604.35,3137.62,0,Top,MANUAL
Via230,";;;;;;;;","",10229.6,385.926,0,Top,MANUAL
Via194,";;;;;;;;","",8524.46,1712.26,0,Top,MANUAL
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",1954.36,537.611,90,Top,THT
10k,"220;;;;;0.25W;;;","THT",8255.46,4036.37,3.18056e-15,Top,THT
Via202,";;;;;;;;","",8180.46,1186.36,0,Top,MANUAL
ʃ,"220;;;;;0.25W;;;","THT",4530.46,3261.37,90,Top,THT
Via113,";;;;;;;;","",4905.46,5361.37,0,Top,MANUAL
220k,"220;;;;;0.25W;;;","THT",704.356,2887.62,-90,Top,THT
Via165,";;;;;;;;","",1504.35,5412.61,0,Top,MANUAL
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",2679.36,3212.62,180,Top,THT
N,";;;;;;;;","TO92 [THT]",3737.96,2764.87,180,Top,THT
LM358,";;;;;;;;","DIP (Dual Inline) [THT]",10405.5,2886.37,0,Top,THT
Via130,";;;;;;;;","",5379.73,5143.16,0,Top,MANUAL
22k,"220;;;;;0.25W;;;","THT",10580.5,2361.37,90,Top,THT
220k,"220;;;;;0.25W;;;","THT",8605.46,3011.37,-90,Top,THT
105,";100nF;;35V;;;;;","200 mil [THT, multilayer]",6005.46,1161.37,90,Top,THT
Via225,";;;;;;;;","",9434.46,4961.19,0,Top,MANUAL
220k,"220;;;;;0.25W;;;","THT",10430.5,2361.37,90,Top,THT
TL082,";;;;;;;;","DIP (Dual Inline) [THT]",3930.46,5061.37,0,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",9530.46,4086.37,90,Top,THT
Via200,";;;;;;;;","",9280.45,5411.37,0,Top,MANUAL
Via204,";;;;;;;;","",10430.5,1186.36,0,Top,MANUAL
Via109,";;;;;;;;","",3555.45,4011.37,0,Top,MANUAL
Via86,";;;;;;;;","",3630.45,261.37,0,Top,MANUAL
R27,";;;;;0.5W;;;","THT",2304.34,2372,-90,Top,THT
R23,";;;;;0.5W;;;","THT",2213.74,3512.62,0,Top,THT
R5,";;;;;0.5W;;;","THT",4180.44,470.752,-90,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",8855.46,536.367,90,Top,THT
L7809CV,";;;5V;;;;;","to220-igo",4982.41,4288.04,-20.5085,Top,THT
Via131,";;;;;;;;","",5274.7,5122.59,0,Top,MANUAL
220k,"220;;;;;0.25W;;;","THT",10030.5,2936.37,-90,Top,THT
-,"220;;;;;0.25W;;;","THT",10280.5,3911.37,0,Top,THT
Via103,";;;;;;;;","",4630.45,3236.37,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",2154.36,4087.62,90,Top,THT
-,"220;;;;;0.25W;;;","THT",1879.36,3387.62,90,Top,THT
Via235,";;;;;;;;","",3233.59,211.226,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",8280.46,3311.37,90,Top,THT
-,";;;;;;;;","TO92 [THT]",4387.96,814.867,180,Top,THT
Via234,";;;;;;;;","",3130.72,358.17,0,Top,MANUAL
105,";100nF;;35V;;;;;","200 mil [THT, multilayer]",7881.51,1386.37,-90,Top,THT
Via133,";;;;;;;;","",7730.45,886.37,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",2804.36,712.611,-90,Top,THT
100k3,"220;;;;;0.25W;;;","THT",7530.46,3705.87,180,Top,THT
100k,"220;;;;;0.25W;;;","THT",8180.46,1486.37,180,Top,THT
100k,"220;;;;;0.25W;;;","THT",7930.46,736.367,-90,Top,THT
10k,"220;;;;;0.25W;;;","THT",5055.46,1311.37,90,Top,THT
103,";100nF;;35V;;;;;","200 mil [THT, multilayer]",8730.46,3136.37,90,Top,THT
10k,"220;;;;;0.25W;;;","THT",124.089,4493.6,90,Top,THT
Via65,";;;;;;;;","",6330.46,1186.36,0,Top,MANUAL
220k,"220;;;;;0.25W;;;","THT",8155.46,2361.37,90,Top,THT
Via203,";;;;;;;;","",9680.46,1186.36,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",1504.36,3762.62,-180,Top,THT
100k,"220;;;;;0.25W;;;","THT",9780.46,4811.37,180,Top,THT
Via246,";;;;;;;;","",7452.71,3995.8,0,Top,MANUAL
-,"220;;;;;0.25W;;;","THT",1718.67,4357.01,-158.242,Top,THT
Via226,";;;;;;;;","",9486.15,381.226,0,Top,MANUAL
Via162,";;;;;;;;","",1179.35,2037.61,0,Top,MANUAL
-,"220;;;;;0.25W;;;","THT",2504.36,3912.62,0,Top,THT
47k,"220;;;;;0.25W;;;","THT",1135.42,2518.68,-45,Top,THT
Via167,";;;;;;;;","",404.361,1187.61,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",8705.46,4086.37,90,Top,THT
TL082,";;;;;;;;","DIP (Dual Inline) [THT]",1504.36,4037.62,0,Top,THT
Via115,";;;;;;;;","",5555.45,4636.37,0,Top,MANUAL
Via244,";;;;;;;;","",7453.82,4921.47,0,Top,MANUAL
Via192,";;;;;;;;","",1298.65,5117.76,0,Top,MANUAL
Via233,";;;;;;;;","",798.727,1127.7,0,Top,MANUAL
10k,"220;;;;;0.25W;;;","THT",379.354,5212.61,90,Top,THT
1k,"220;;;;;0.25W;;;","THT",10655.5,3961.37,90,Top,THT
1k,"220;;;;;0.25W;;;","THT",5205.46,2086.37,0,Top,THT
Via135,";;;;;;;;","",6880.45,2561.37,0,Top,MANUAL
-,"220;;;;;0.25W;;;","THT",9064.68,4359.6,-20.1906,Top,THT
-,"220;;;;;0.25W;;;","THT",9655.46,3386.37,90,Top,THT
1k,"220;;;;;0.25W;;;","THT",9680.46,761.367,0,Top,THT
Via231,";;;;;;;;","",10030.6,361.493,0,Top,MANUAL
10k,"220;;;;;0.25W;;;","THT",3155.46,4536.37,-90,Top,THT
10k,"220;;;;;0.25W;;;","THT",10405.5,4511.37,-90,Top,THT
100k,"220;;;;;0.25W;;;","THT",1029.36,4812.62,180,Top,THT
Via219,";;;;;;;;","",8880.16,1186.66,0,Top,MANUAL
Via228,";;;;;;;;","",8230.45,211.37,0,Top,MANUAL
R4,";;;;;0.5W;;;","THT",6680.44,470.752,-90,Top,THT
105,";100nF;;35V;;;;;","200 mil [THT, multilayer]",4380.46,4836.37,0,Top,THT
10k,"220;;;;;0.25W;;;","THT",8912.5,1465.41,0,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",954.356,3787.62,0,Top,THT
Via210,";;;;;;;;","",10580.5,486.361,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",479.356,4137.62,1.90833e-14,Top,THT
100k,"220;;;;;0.25W;;;","THT",5630.46,2411.37,90,Top,THT
1k,"220;;;;;0.25W;;;","THT",4230.46,2411.37,90,Top,THT
ʃ,"220;;;;;0.25W;;;","THT",6630.46,3261.37,-90,Top,THT
Via95,";;;;;;;;","",5205.45,3886.37,0,Top,MANUAL
ʃ,"220;;;;;0.25W;;;","THT",3580.46,786.367,0,Top,THT
Via183,";;;;;;;;","",1105,1787.83,0,Top,MANUAL
10k,"220;;;;;0.25W;;;","THT",3255.46,4536.37,-90,Top,THT
1k,"220;;;;;0.25W;;;","THT",2879.36,3962.62,90,Top,THT
Via217,";;;;;;;;","",8505.46,5136.37,0,Top,MANUAL
103,";100nF;;35V;;;;;","200 mil [THT, multilayer]",9905.46,3136.37,90,Top,THT
220k1,"220;;;;;0.25W;;;","THT",1504.36,2137.61,0,Top,THT
-,";;;;;;;;","TO92 [THT]",1961.86,2291.11,180,Top,THT
Via161,";;;;;;;;","",2179.35,1762.61,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",7130.46,4111.37,0,Top,THT
100k19,"220;;;;;0.25W;;;","THT",479.356,3837.62,180,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",5530.46,4811.37,0,Top,THT
Via129,";;;;;;;;","",5634.41,4967.27,0,Top,MANUAL
Via107,";;;;;;;;","",3444.42,1244.88,0,Top,MANUAL
22k,"220;;;;;0.25W;;;","THT",4780.46,411.367,90,Top,THT
100k,"220;;;;;0.25W;;;","THT",3930.46,4636.37,90,Top,THT
100k,"220;;;;;0.25W;;;","THT",4330.46,5111.37,0,Top,THT
Via61,";;;;;;;;","",5455.46,1186.36,0,Top,MANUAL
Via188,";;;;;;;;","",1678.7,5244.07,0,Top,MANUAL
Via84,";;;;;;;;","",5155.45,3186.37,0,Top,MANUAL
100k,"220;;;;;0.25W;;;","THT",2004.36,4812.62,180,Top,THT
R35,";;;;;0.5W;;;","THT",10080.4,2370.75,-90,Top,THT
Via102,";;;;;;;;","",3605.45,3861.37,0,Top,MANUAL
R24,";;;;;0.5W;;;","THT",2213.74,4537.63,0,Top,THT
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",8905.46,4111.37,-90,Top,THT
100k,"220;;;;;0.25W;;;","THT",8336.22,836.811,180,Top,THT
101,";100nF;;35V;;;;;","200 mil [THT, multilayer]",6280.46,361.366,6.36109e-15,Top,THT
R36,";;;;;0.5W;;;","THT",8505.44,2370.75,-90,Top,THT
-,"220;;;;;0.25W;;;","THT",1329.36,3187.62,-90,Top,THT
10k,"220;;;;;0.25W;;;","THT",5155.46,1311.37,90,Top,THT
Via182,";;;;;;;;","",729.358,5137.62,0,Top,MANUAL
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",1779.36,3762.62,90,Top,THT
102,";100nF;;35V;;;;;","200 mil [THT, multilayer]",4455.46,2361.37,90,Top,THT
Via198,";;;;;;;;","",8555.45,1386.37,0,Top,MANUAL
104,";100nF;;35V;;;;;","200 mil [THT, multilayer]",8730.46,3786.37,0,Top,THT
105,";100nF;;35V;;;;;","200 mil [THT, multilayer]",4380.46,4961.37,-1.27222e-14,Top,THT
Via122,";;;;;;;;","",5480.4,5417.45,0,Top,MANUAL
Via245,";;;;;;;;","",7375.94,4692.27,0,Top,MANUAL
Via172,";;;;;;;;","",1904.36,1787.61,0,Top,MANUAL
220k,"220;;;;;0.25W;;;","THT",2254.36,2937.62,-90,Top,THT
-,"220;;;;;0.25W;;;","THT",6180.46,2061.37,180,Top,THT
1k,"220;;;;;0.25W;;;","THT",8855.46,761.367,0,Top,THT
Via57,";;;;;;;;","",4530.45,1186.37,0,Top,MANUAL
1M,"220;;;;;0.25W;;;","THT",9781.5,3013.64,-104.098,Top,THT
103,";100nF;;35V;;;;;","200 mil [THT, multilayer]",954.356,3137.62,90,Top,THT
103,";100nF;;35V;;;;;","200 mil [THT, multilayer]",4805.46,686.366,6.36109e-15,Top,THT
Via87,";;;;;;;;","",3430.45,461.37,0,Top,MANUAL
1k,"220;;;;;0.25W;;;","THT",5680.46,2086.37,0,Top,THT
R17,";;;;;0.5W;;;","THT",7230.44,4445.75,-90,Top,THT
TL082,";;;;;;;;","DIP (Dual Inline) [THT]",1504.36,4662.62,0,Top,THT
